Model,DT
CTG-2266,6.64724478711588
CTG-2287,17.509815536793
CTG-2291,9.20387739754506
CTG-2309,17.9475609252129
CTG-2316,15.2745199363514
CTG-2323,7.47815038550536
CTG-2342,37.7843387899218
CTG-2355,10.2557491001216
CTG-2382,5.88444620498783
CTG-2390,59.8252030840429
CTG-2424,79.7669374453906
CTG-2426,13.2944895742317
CTG-2474,13.5453290001607
CTG-2491,13.2944895742318
CTG-2510,6.13591826503004
CTG-2618,12.5947795966406
CTG-2662,31.2131494351528
CTG-2667,12.1678379153986
CTG-2722,10.8773096516442
CTG-2735,7.47815038550536
CTG-2782,44.8689023130321
CTG-3010,22.4344511565161
CTG-3067,10.8773096516442
CTG-3117,9.44608469748046
CTG-3166,7.8032873587882
CTG-3419,15.9533874890781
CTG-3483,9.97086718067382
CTG-3725,10.2557491001216
CTG-3726,15.6065747175764
CTG-0437,5.93307799180591
CTG-0473,20.5114982002433
CTG-0670,6.83716606674776
CTG-0708,11.9650406168086
CTG-0717,14.9563007710107
CTG-0807,14.3580487401703
CTG-0869,6.46758952259923
CTG-0888,10.7149617463957
CTG-1017,5.88444620498783
CTG-1018,10.4043831450509
CTG-1019,11.217225578258
CTG-1059,10.557388779537
CTG-1106,23.1581431293069
CTG-1124,13.8058160963176
CTG-1151,25.6393727503041
CTG-1153,11.217225578258
CTG-1167,9.83427995902075
CTG-1171,18.8921693949609
CTG-1184,7.25153976776278
CTG-1205,16.6954055118259
CTG-1207,10.8773096516442
CTG-1211,10.8773096516442
CTG-1242,8.25175214952316
CTG-1260,19.9417343613476
CTG-1325,11.217225578258
CTG-1340,14.076518372716
CTG-1350,21.114777559074
CTG-1365,14.6510701430309
CTG-1374,8.97378046260643
CTG-1408,28.7160974803406
CTG-1475,16.3159644774662
CTG-1520,4.48689023130322
CTG-1646,14.9563007710107
CTG-1684,22.4344511565161
CTG-1705,8.64942695190982
CTG-1714,10.7149617463957
CTG-1727,12.3776282242847
CTG-1883,4.43149652474392
CTG-1909,14.3580487401703
CTG-1941,7.88903776932434
CTG-1967,42.2295551181479
CTG-1991,15.9533874890781
CTG-2010,12.5947795966406
CTG-2055,9.70138428389885
CTG-2061,14.3580487401703
CTG-2198,17.9475609252129
CTG-2208,9.70138428389885
CTG-2215,8.97378046260643
CTG-2220,18.4077547950901
CTG-2279,5.39776268427455
CTG-2308,14.076518372716
CTG-2328,5.60861278912902
CTG-2349,4.98543359033691
CTG-2353,18.8921693949609
CTG-2397,12.3776282242847
CTG-2431,11.5790715646535
CTG-2432,15.2745199363514
CTG-2436,22.4344511565161
CTG-2468,29.9126015420214
CTG-2488,23.1581431293069
CTG-2515,8.75490776839652
CTG-2518,11.5790715646535
CTG-2611,18.4077547950901
CTG-2623,12.1678379153986
CTG-2652,18.8921693949609
CTG-2697,8.5464575834347
CTG-2721,23.9300812336172
CTG-2742,24.7552564485695
CTG-2745,17.0929151668694
CTG-2810,15.6065747175764
CTG-2829,9.57203249344687
CTG-2849,5.48017127487416
CTG-2854,25.6393727503041
CTG-2891,23.9300812336172
CTG-2920,19.4027685677977
CTG-2921,17.0929151668694
CTG-2930,22.4344511565161
CTG-2950,25.6393727503041
CTG-2959,13.8058160963176
CTG-2970,8.97378046260643
CTG-3017,12.3776282242847
CTG-3090,10.8773096516442
CTG-3103,20.5114982002433
CTG-3104,8.34770275591296
CTG-3128,29.9126015420215
CTG-3131,12.3776282242847
CTG-3216,23.1581431293069
CTG-3253,14.3580487401703
CTG-3266,14.3580487401703
CTG-3273,15.6065747175764
CTG-3283,13.052771581973
CTG-3296,21.7546193032883
CTG-3298,17.9475609252129
CTG-3302,9.70138428389885
CTG-3303,27.6116321926352
CTG-3342,7.47815038550536
CTG-3346,17.0929151668694
CTG-3347,19.9417343613476
CTG-3399,12.3776282242847
CTG-3400,34.1858303337388
CTG-3401,29.9126015420214
CTG-3434,31.2131494351528
CTG-3459,21.114777559074
CTG-3478,8.34770275591296
CTG-3496,21.114777559074
CTG-3498,18.8921693949609
CTG-3500,8.97378046260643
CTG-3501,9.57203249344686
CTG-3502,13.5453290001607
CTG-3503,6.83716606674776
CTG-3533,10.7149617463957
CTG-3606,23.1581431293069
CTG-3867,14.076518372716
CTG-3884,21.7546193032883
CTG-0434,13.052771581973
CTG-0462,9.97086718067382
CTG-0505,18.4077547950901
CTG-0664,7.32553507151546
CTG-0674,10.8773096516442
CTG-0701,17.509815536793
CTG-0719,14.6510701430309
CTG-0776,5.98252030840429
CTG-0786,13.8058160963176
CTG-0787,13.052771581973
CTG-0790,15.9533874890781
CTG-0798,15.9533874890781
CTG-0820,10.7149617463957
CTG-0840,10.8773096516442
CTG-0871,8.64942695190982
CTG-0891,9.44608469748046
CTG-0901,13.5453290001607
CTG-0953,8.64942695190982
CTG-0977,10.7149617463957
CTG-1100,11.5790715646535
CTG-1130,11.3952767779129
CTG-1131,9.57203249344687
CTG-1140,10.557388779537
CTG-1443,10.7149617463957
CTG-1880,6.08391895769928
CTG-1946,32.6319289549325
